iter	Logloss
0	0.5820191112
1	0.4928741455
2	0.4388056137
3	0.3893251472
4	0.3518631892
5	0.3272148436
6	0.3080588555
7	0.2928921523
8	0.2777268531
9	0.2682264007
10	0.2583586784
11	0.2528016474
12	0.2478428201
13	0.2446087924
14	0.239623326
15	0.2351648023
16	0.2304516438
17	0.2293790774
18	0.2266761357
19	0.2254108948
20	0.2240713948
21	0.2225215456
22	0.2202462913
23	0.2194782951
24	0.2186563123
25	0.2179761314
26	0.2174642807
27	0.2167819776
28	0.2161447659
29	0.2155216615
30	0.2148604689
31	0.2140674857
32	0.2132659466
33	0.2127620517
34	0.2119933262
35	0.211112546
36	0.2103584326
37	0.2101236624
38	0.2094034114
39	0.2091222725
40	0.2087010366
41	0.208060403
42	0.2077809056
43	0.2075490551
44	0.2071305508
45	0.2065730286
46	0.2065083837
47	0.2061426008
48	0.2056163699
49	0.2051972669
50	0.2047412003
51	0.2045035315
52	0.2041480512
53	0.2038486167
54	0.2030515378
55	0.2025241734
56	0.2022111158
57	0.2015899457
58	0.201145152
59	0.2007123328
60	0.2002674665
61	0.1999473498
62	0.1997988476
63	0.1992016647
64	0.1990311378
65	0.1985908444
66	0.1980902041
67	0.197630551
68	0.1971317227
69	0.1966301172
70	0.1966083716
71	0.1952728733
72	0.1952491345
73	0.1949244367
74	0.1949234883
75	0.1942152038
76	0.1941802699
77	0.193625705
78	0.1933764494
79	0.1930856605
80	0.1927013428
81	0.1925745617
82	0.1924478394
83	0.1922353282
84	0.1920397982
85	0.1915365881
86	0.1911911919
87	0.1907140376
88	0.1903131841
89	0.1898476024
90	0.1896693286
91	0.1892186027
92	0.1889991389
93	0.1885375587
94	0.1879393573
95	0.1874523987
96	0.18679584
97	0.1867953804
98	0.1863751557
99	0.1859167666
100	0.1854401744
101	0.1851337135
102	0.1846508976
103	0.184269547
104	0.1840582839
105	0.1839383071
106	0.1838334057
107	0.1832512398
108	0.1830042725
109	0.1824826426
110	0.1823014258
111	0.1819854915
112	0.1817109197
113	0.1812785965
114	0.1809372918
115	0.1807747989
116	0.180500303
117	0.1804545738
118	0.1801339817
119	0.1798163051
120	0.1797877839
121	0.1794880775
122	0.179277102
123	0.1789066494
124	0.1785868395
125	0.1782069774
126	0.1778923387
127	0.17774072
128	0.177331736
129	0.177220989
130	0.1771463237
131	0.1768349092
132	0.176545501
133	0.1761943213
134	0.1758727905
135	0.1754812322
136	0.1751512979
137	0.1748895913
138	0.1745574889
139	0.1744075517
140	0.1737395198
141	0.1735639099
142	0.1733475702
143	0.17291943
144	0.17287544
145	0.1725372047
146	0.172184924
147	0.1721204953
148	0.1718484474
149	0.1716467571
150	0.171436569
151	0.1710863263
152	0.1705811416
153	0.1703060223
154	0.1701032794
155	0.1696741252
156	0.1694615868
157	0.1691846832
158	0.1688925666
159	0.1688865691
160	0.1686349337
161	0.1684025206
162	0.1682001931
163	0.1678364344
164	0.1674334787
165	0.1672855735
166	0.1670200331
167	0.1668601827
168	0.166503135
169	0.1663492778
170	0.1659104243
171	0.1656216477
172	0.1654925496
173	0.1652946161
174	0.1648449703
175	0.1645785478
176	0.1640684612
177	0.1638723829
178	0.1635559557
179	0.16328734
180	0.1631560577
181	0.163091477
182	0.1627972376
183	0.1624538059
184	0.1620885305
185	0.1616949785
186	0.1613299399
187	0.1610656939
188	0.1609883089
189	0.1608762514
190	0.1606960424
191	0.1603161235
192	0.1602710686
193	0.1601027525
194	0.1596800472
195	0.1596181475
196	0.1593509006
197	0.1588853718
198	0.1586643071
199	0.1584432391
200	0.1584343096
201	0.158114019
202	0.1579540119
203	0.1576721698
204	0.1573918524
205	0.1572333819
206	0.1568270563
207	0.1565287335
208	0.1563691162
209	0.1561724864
210	0.15583826
211	0.1553594731
212	0.1549509936
213	0.1543800255
214	0.1541611591
215	0.1537597508
216	0.1534531397
217	0.1533652971
218	0.1531272232
219	0.1529266842
220	0.1524814779
221	0.1521598215
222	0.1517405675
223	0.1516476791
224	0.1513034686
225	0.151028053
226	0.1507989361
227	0.150618077
228	0.1503641203
229	0.1501674592
230	0.1499870317
231	0.1497360815
232	0.1494627361
233	0.1492059707
234	0.1490696399
235	0.1488685143
236	0.1486115027
237	0.1484610889
238	0.1482237242
239	0.1481643779
240	0.1479615383
241	0.1477335982
242	0.1474160144
243	0.1472658183
244	0.1471009276
245	0.1468389158
246	0.1467433698
247	0.1464442531
248	0.1462837884
249	0.1458932524
250	0.1456979583
251	0.1454759098
252	0.1453012212
253	0.1450749134
254	0.145053257
255	0.1446379584
256	0.1443585598
257	0.1442532683
258	0.1441933152
259	0.1438245087
260	0.1436783168
261	0.1433935722
262	0.1433533237
263	0.1430332824
264	0.1430220374
265	0.1428064702
266	0.1426211214
267	0.1424970584
268	0.1420327848
269	0.1418197139
270	0.1415902606
271	0.1413811693
272	0.1413736489
273	0.1411517188
274	0.1410157099
275	0.140801615
276	0.1406017955
277	0.1403399945
278	0.1402519544
279	0.1402251176
280	0.1400738551
281	0.1399947067
282	0.1397632665
283	0.1393739567
284	0.138864925
285	0.1385887003
286	0.1383550164
287	0.1381245898
288	0.1380851535
289	0.1378792727
290	0.1378266116
291	0.1375545503
292	0.1372969069
293	0.1371710575
294	0.1369495516
295	0.1366987945
296	0.1363332411
297	0.1360534724
298	0.1359396027
299	0.1358856216
300	0.1356967545
301	0.1355768367
302	0.1354305971
303	0.1351481015
304	0.1350090475
305	0.1348870149
306	0.1346677934
307	0.1342646682
308	0.1340637539
309	0.1340155806
310	0.1338467379
311	0.1334740252
312	0.1331557565
313	0.1329151955
314	0.1327483557
315	0.1325570068
316	0.1323999814
317	0.1321807351
318	0.1320972325
319	0.1319272385
320	0.1315955057
321	0.1313853762
322	0.1311636269
323	0.1308974477
324	0.1306832559
325	0.1305517822
326	0.130396322
327	0.130374629
328	0.1303287646
329	0.1302518334
330	0.1299787593
331	0.1297085366
332	0.1296248486
333	0.1293800957
334	0.129273083
335	0.1290024966
336	0.1289995305
337	0.1286734682
338	0.1285689408
339	0.1283647393
340	0.1281518244
341	0.1279088605
342	0.1278713326
343	0.1277893421
344	0.127603061
345	0.1273162808
346	0.1271323479
347	0.1268809414
348	0.1266146226
349	0.1264229721
350	0.1260710587
351	0.1258706982
352	0.1254703198
353	0.1252650351
354	0.1251232525
355	0.1247535992
356	0.1245003422
357	0.1244391659
358	0.124318212
359	0.124212386
360	0.123956171
361	0.1237980051
362	0.1236157959
363	0.123066306
364	0.1230212817
365	0.1228158645
366	0.1226171265
367	0.1223918579
368	0.1222320037
369	0.1222211608
370	0.1221040035
371	0.1219611821
372	0.1216549293
373	0.1214445644
374	0.121344932
375	0.1212625842
376	0.1209171556
377	0.1207575954
378	0.1204107472
379	0.1203528788
380	0.1201116801
381	0.1199556535
382	0.119848842
383	0.1198105785
384	0.1197765603
385	0.1195860266
386	0.1193345591
387	0.1191091328
388	0.119090335
389	0.1189903477
390	0.1189125656
391	0.1187960345
392	0.1186872471
393	0.1182813276
394	0.1182202811
395	0.118063742
396	0.1179035614
397	0.1176607345
398	0.1174226535
399	0.1173254011
400	0.117135023
401	0.1170123222
402	0.1170058669
403	0.1168475505
404	0.1167993102
405	0.1165779083
406	0.1164067327
407	0.1163713064
408	0.1163068935
409	0.115958414
410	0.1159572519
411	0.1158834347
412	0.115804901
413	0.1156270413
414	0.1154367024
415	0.1149782502
416	0.1149385019
417	0.1147715232
418	0.1143214771
419	0.1139526921
420	0.1137180329
421	0.1135384232
422	0.1134857636
423	0.1134353111
424	0.1132672659
425	0.1130956466
426	0.1128557246
427	0.1126064779
428	0.1123397035
429	0.1121941511
430	0.1121105637
431	0.1119413264
432	0.1117609738
433	0.1116410554
434	0.1115523572
435	0.1114433214
436	0.1113482975
437	0.1110885277
438	0.1110299777
439	0.1109375964
440	0.1107629832
441	0.1106454884
442	0.110512185
443	0.1105101552
444	0.1102614742
445	0.1101278648
446	0.11004149
447	0.1099400699
448	0.1098245454
449	0.1096738753
450	0.1095768236
451	0.1095138699
452	0.1094106329
453	0.1093034305
454	0.1092063725
455	0.1089612833
456	0.1087616577
457	0.108667364
458	0.108528344
459	0.1083006036
460	0.1081433301
461	0.1080033674
462	0.1076822475
463	0.107489697
464	0.1074521641
465	0.107293403
466	0.1070761719
467	0.1068528883
468	0.1067554451
469	0.1064061701
470	0.1063193214
471	0.1061533171
472	0.1059519777
473	0.1057538774
474	0.105553893
475	0.1054469073
476	0.1053422571
477	0.1051425976
478	0.1050250182
479	0.1045281998
480	0.1045083885
481	0.1042493861
482	0.1041596637
483	0.1040798767
484	0.1038817843
485	0.1038092872
486	0.10371024
487	0.1036271733
488	0.1034350334
489	0.1033049368
490	0.1030625719
491	0.102891118
492	0.1027642856
493	0.1026221578
494	0.1025107643
495	0.10243429
496	0.1023789633
497	0.1021097948
498	0.1019993516
499	0.101812094
