iter	Passed	Remaining
0	78	39155
1	107	26660
2	119	19762
3	129	16081
4	144	14299
5	160	13210
6	170	12004
7	183	11310
8	198	10817
9	208	10206
10	239	10647
11	253	10295
12	264	9904
13	279	9715
14	291	9438
15	314	9514
16	327	9317
17	340	9115
18	355	9004
19	366	8802
20	383	8746
21	397	8626
22	409	8499
23	429	8511
24	441	8381
25	467	8525
26	477	8357
27	488	8231
28	500	8124
29	511	8010
30	535	8095
31	550	8048
32	567	8029
33	594	8153
34	604	8037
35	615	7935
36	627	7846
37	643	7826
38	663	7840
39	676	7785
40	697	7804
41	710	7747
42	724	7696
43	734	7616
44	756	7646
45	766	7563
46	782	7537
47	795	7491
48	807	7436
49	822	7406
50	832	7327
51	842	7259
52	857	7235
53	869	7178
54	879	7113
55	890	7062
56	906	7048
57	924	7042
58	936	7003
59	954	7002
60	965	6946
61	974	6884
62	996	6912
63	1008	6870
64	1024	6859
65	1040	6838
66	1054	6812
67	1065	6767
68	1080	6746
69	1098	6745
70	1107	6689
71	1121	6666
72	1130	6613
73	1147	6606
74	1152	6533
75	1162	6487
76	1179	6481
77	1190	6438
78	1201	6401
79	1226	6441
80	1237	6399
81	1246	6355
82	1264	6353
83	1277	6325
84	1291	6303
85	1305	6282
86	1329	6313
87	1344	6294
88	1357	6271
89	1373	6255
90	1383	6217
91	1393	6181
92	1406	6153
93	1416	6120
94	1441	6143
95	1454	6119
96	1464	6083
97	1480	6071
98	1490	6038
99	1501	6004
100	1515	5987
101	1536	5993
102	1557	6001
103	1569	5977
104	1584	5958
105	1627	6048
106	1642	6031
107	1661	6029
108	1687	6054
109	1711	6067
110	1725	6048
111	1736	6016
112	1751	5998
113	1763	5971
114	1787	5983
115	1799	5955
116	1808	5920
117	1819	5891
118	1832	5868
119	1858	5884
120	1869	5855
121	1884	5839
122	1906	5844
123	1917	5812
124	1927	5783
125	1939	5756
126	1957	5749
127	1972	5731
128	1987	5716
129	1998	5688
130	2018	5684
131	2028	5654
132	2037	5622
133	2061	5629
134	2074	5608
135	2085	5580
136	2099	5563
137	2122	5567
138	2132	5538
139	2143	5511
140	2166	5517
141	2178	5491
142	2190	5468
143	2201	5442
144	2211	5414
145	2235	5420
146	2254	5413
147	2265	5388
148	2277	5363
149	2289	5341
150	2310	5340
151	2323	5320
152	2335	5297
153	2363	5310
154	2390	5321
155	2405	5304
156	2419	5286
157	2433	5268
158	2448	5251
159	2461	5230
160	2475	5212
161	2489	5194
162	2504	5178
163	2520	5163
164	2535	5147
165	2549	5130
166	2564	5114
167	2578	5095
168	2592	5077
169	2606	5058
170	2620	5041
171	2634	5023
172	2649	5007
173	2662	4989
174	2675	4968
175	2689	4951
176	2704	4935
177	2719	4919
178	2733	4901
179	2749	4887
180	2761	4866
181	2774	4848
182	2789	4832
183	2804	4816
184	2819	4800
185	2834	4785
186	2849	4769
187	2863	4752
188	2878	4736
189	2892	4719
190	2909	4706
191	2926	4694
192	2940	4677
193	2954	4660
194	2969	4645
195	2982	4625
196	2997	4610
197	3012	4594
198	3027	4578
199	3041	4561
200	3053	4541
201	3113	4592
202	3157	4619
203	3169	4598
204	3183	4581
205	3197	4563
206	3219	4556
207	3230	4535
208	3243	4516
209	3262	4505
210	3276	4487
211	3286	4465
212	3302	4449
213	3315	4430
214	3325	4408
215	3335	4385
216	3354	4374
217	3369	4359
218	3390	4350
219	3403	4331
220	3417	4314
221	3428	4293
222	3450	4286
223	3466	4270
224	3480	4254
225	3493	4235
226	3503	4213
227	3513	4191
228	3525	4172
229	3536	4151
230	3547	4131
231	3560	4112
232	3574	4095
233	3585	4076
234	3600	4059
235	3619	4048
236	3631	4030
237	3651	4019
238	3671	4008
239	3681	3988
240	3710	3987
241	3732	3979
242	3750	3966
243	3762	3947
244	3775	3929
245	3786	3909
246	3800	3893
247	3816	3877
248	3830	3860
249	3848	3848
250	3861	3830
251	3873	3811
252	3890	3797
253	3904	3781
254	3929	3775
255	3943	3758
256	3954	3739
257	3971	3725
258	3988	3710
259	3999	3692
260	4014	3676
261	4033	3663
262	4044	3644
263	4059	3628
264	4072	3611
265	4085	3594
266	4096	3574
267	4106	3555
268	4122	3540
269	4132	3520
270	4146	3503
271	4156	3483
272	4166	3464
273	4191	3457
274	4204	3439
