iter	Passed	Remaining
0	81	40610
1	100	25129
2	132	21918
3	146	18216
4	163	16146
5	175	14460
6	189	13328
7	199	12299
8	216	11799
9	227	11123
10	236	10505
11	263	10703
12	274	10265
13	286	9960
14	296	9594
15	321	9735
16	340	9661
17	350	9377
18	360	9131
19	376	9032
20	386	8811
21	397	8643
22	407	8460
23	417	8281
24	429	8162
25	441	8055
26	467	8193
27	477	8050
28	488	7935
29	499	7818
30	519	7864
31	547	8005
32	557	7892
33	570	7813
34	585	7784
35	600	7738
36	613	7681
37	629	7647
38	641	7583
39	659	7580
40	681	7634
41	694	7576
42	707	7517
43	718	7448
44	739	7474
45	748	7390
46	765	7376
47	775	7306
48	787	7245
49	805	7251
50	818	7208
51	829	7147
52	838	7075
53	851	7032
54	871	7052
55	883	7001
56	892	6934
57	905	6899
58	918	6865
59	939	6890
60	949	6835
61	973	6879
62	990	6872
63	1011	6893
64	1034	6922
65	1049	6903
66	1063	6874
67	1074	6826
68	1086	6784
69	1097	6744
70	1105	6682
71	1122	6673
72	1146	6704
73	1168	6728
74	1174	6655
75	1191	6644
76	1202	6607
77	1215	6578
78	1233	6574
79	1248	6555
80	1273	6589
81	1289	6572
82	1298	6522
83	1315	6514
84	1325	6472
85	1338	6445
86	1348	6402
87	1368	6404
88	1381	6381
89	1393	6347
90	1404	6312
91	1416	6283
92	1433	6272
93	1454	6282
94	1469	6264
95	1490	6270
96	1513	6285
97	1524	6252
98	1538	6232
99	1555	6221
100	1570	6205
101	1636	6386
102	1684	6491
103	1708	6505
104	1728	6501
105	1752	6515
106	1773	6514
107	1794	6514
108	1815	6513
109	1835	6508
110	1869	6553
111	1900	6583
112	1921	6581
113	1946	6590
114	1971	6599
115	1991	6593
116	2006	6569
117	2023	6549
118	2046	6551
119	2057	6516
120	2075	6501
121	2086	6463
122	2095	6424
123	2119	6425
124	2135	6406
125	2153	6391
126	2169	6372
127	2193	6375
128	2204	6341
129	2224	6331
130	2247	6330
131	2262	6306
132	2278	6286
133	2302	6288
134	2325	6286
135	2340	6264
136	2355	6241
137	2384	6255
138	2417	6277
139	2439	6274
140	2460	6263
141	2478	6249
142	2491	6219
143	2510	6207
144	2531	6196
145	2549	6180
146	2565	6159
147	2585	6148
148	2598	6121
149	2609	6088
150	2626	6069
151	2636	6037
152	2654	6019
153	2674	6008
154	2690	5988
155	2703	5962
156	2728	5960
157	2745	5942
158	2762	5924
159	2775	5898
160	2810	5917
161	2827	5900
162	2843	5879
163	2865	5871
164	2882	5852
165	2917	5870
166	2934	5851
167	2949	5828
168	2967	5812
169	2990	5805
170	3006	5784
171	3020	5760
172	3046	5758
173	3066	5745
174	3079	5718
175	3102	5712
176	3119	5693
177	3143	5687
178	3158	5664
179	3189	5671
180	3201	5641
181	3218	5623
182	3233	5600
183	3260	5600
184	3279	5584
185	3293	5560
186	3315	5548
187	3335	5534
188	3353	5518
189	3376	5509
190	3402	5504
191	3429	5500
192	3471	5522
193	3490	5505
194	3506	5483
195	3519	5459
196	3533	5435
197	3549	5414
198	3565	5392
199	3585	5378
200	3616	5379
201	3643	5375
202	3662	5358
203	3675	5333
204	3700	5325
205	3717	5304
206	3732	5283
207	3747	5260
208	3758	5232
209	3775	5213
210	3805	5212
211	3820	5190
212	3837	5171
213	3861	5160
214	3877	5139
215	3895	5122
216	3915	5105
217	3930	5084
218	3959	5080
219	3976	5060
220	4006	5058
221	4029	5046
222	4042	5021
223	4057	4999
224	4070	4974
225	4085	4953
226	4108	4941
227	4127	4924
228	4150	4911
229	4171	4896
230	4208	4900
231	4223	4878
232	4240	4859
233	4256	4838
234	4268	4813
235	4285	4793
236	4304	4776
237	4341	4779
238	4363	4765
239	4378	4743
240	4417	4747
241	4430	4723
242	4456	4713
243	4471	4691
244	4487	4670
245	4501	4648
246	4523	4633
247	4544	4617
248	4561	4598
249	4575	4575
250	4594	4558
251	4606	4533
252	4617	4508
253	4637	4491
254	4662	4479
255	4675	4456
256	4698	4442
257	4713	4421
258	4736	4407
259	4756	4390
260	4772	4369
261	4795	4355
262	4819	4342
263	4839	4325
264	4859	4309
265	4882	4294
266	4906	4281
267	4921	4260
268	4931	4234
269	4942	4209
270	4954	4187
271	4965	4162
272	4976	4138
273	5005	4128
274	5042	4125
275	5060	4106
276	5070	4081
277	5094	4068
278	5114	4051
279	5125	4027
280	5141	4006
281	5157	3987
282	5175	3968
283	5190	3947
284	5206	3927
285	5227	3911
286	5245	3893
287	5263	3874
288	5284	3858
289	5306	3842
290	5315	3817
291	5335	3800
292	5352	3781
293	5370	3763
294	5411	3760
295	5430	3742
296	5445	3722
297	5462	3702
298	5494	3693
299	5508	3672
300	5520	3649
